stream_id,step_id,processed,exact,estimate,abs_err,rel_err
12,12,130000,27612.000000,27653.806699,41.806699,0.001514
12,13,140000,29680.000000,29664.916339,15.083661,0.000508
12,14,150000,31869.000000,31832.256711,36.743289,0.001153
12,15,160000,33958.000000,34006.160785,48.160785,0.001418
12,16,170000,36029.000000,36141.123086,112.123086,0.003112
12,17,180000,38182.000000,38419.565367,237.565367,0.006222
12,18,190000,40291.000000,40178.142428,112.857572,0.002801
12,19,200000,42416.000000,42213.152443,202.847557,0.004782
13,0,10000,2127.000000,2115.071371,11.928629,0.005608
13,1,20000,4226.000000,4264.795193,38.795193,0.009180
13,2,30000,6338.000000,6331.722182,6.277818,0.000991
13,3,40000,8436.000000,8477.586605,41.586605,0.004930
13,4,50000,10530.000000,10719.980961,189.980961,0.018042
13,5,60000,12696.000000,12898.143926,202.143926,0.015922
13,6,70000,14795.000000,14995.760651,200.760651,0.013569
13,7,80000,16953.000000,17024.324063,71.324063,0.004207
13,8,90000,19054.000000,18852.132171,201.867829,0.010595
13,9,100000,21182.000000,21112.414520,69.585480,0.003285
13,10,110000,23306.000000,23345.805632,39.805632,0.001708
13,11,120000,25418.000000,25435.240662,17.240662,0.000678
13,12,130000,27504.000000,27609.914896,105.914896,0.003851
13,13,140000,29590.000000,29419.016126,170.983874,0.005778
13,14,150000,31774.000000,31519.704702,254.295298,0.008003
13,15,160000,33848.000000,33560.869929,287.130071,0.008483
13,16,170000,35918.000000,35715.533257,202.466743,0.005637
13,17,180000,38087.000000,38001.641648,85.358352,0.002241
13,18,190000,40261.000000,40148.404205,112.595795,0.002797
13,19,200000,42304.000000,42193.758935,110.241065,0.002606
14,0,10000,2154.000000,2143.661920,10.338080,0.004799
14,1,20000,4323.000000,4330.469657,7.469657,0.001728
14,2,30000,6496.000000,6393.175153,102.824847,0.015829
14,3,40000,8595.000000,8453.887407,141.112593,0.016418
14,4,50000,10765.000000,11077.896394,312.896394,0.029066
14,5,60000,12840.000000,13006.333286,166.333286,0.012954
14,6,70000,14965.000000,15198.405898,233.405898,0.015597
14,7,80000,17117.000000,17390.266509,273.266509,0.015965
14,8,90000,19179.000000,19327.678824,148.678824,0.007752
14,9,100000,21260.000000,21329.678086,69.678086,0.003277
14,10,110000,23385.000000,23591.815793,206.815793,0.008844
14,11,120000,25522.000000,25931.905306,409.905306,0.016061
14,12,130000,27614.000000,28211.767981,597.767981,0.021647
14,13,140000,29703.000000,30374.284895,671.284895,0.022600
14,14,150000,31734.000000,32637.114386,903.114386,0.028459
14,15,160000,33858.000000,34746.389211,888.389211,0.026239
14,16,170000,35961.000000,36481.534997,520.534997,0.014475
14,17,180000,38057.000000,38698.810309,641.810309,0.016864
14,18,190000,40236.000000,41198.630967,962.630967,0.023925
14,19,200000,42364.000000,43309.112619,945.112619,0.022309
15,0,10000,2174.000000,2189.484648,15.484648,0.007123
15,1,20000,4399.000000,4414.806325,15.806325,0.003593
15,2,30000,6514.000000,6553.442188,39.442188,0.006055
15,3,40000,8666.000000,8697.285737,31.285737,0.003610
15,4,50000,10780.000000,11088.565002,308.565002,0.028624
15,5,60000,12870.000000,13193.380282,323.380282,0.025127
15,6,70000,14991.000000,15133.198965,142.198965,0.009486
15,7,80000,17067.000000,17106.493081,39.493081,0.002314
15,8,90000,19135.000000,19029.101940,105.898060,0.005534
15,9,100000,21224.000000,21052.619275,171.380725,0.008075
15,10,110000,23350.000000,23134.238559,215.761441,0.009240
15,11,120000,25465.000000,25153.662136,311.337864,0.012226
15,12,130000,27597.000000,27149.737759,447.262241,0.016207
15,13,140000,29753.000000,29213.805996,539.194004,0.018122
15,14,150000,31876.000000,31445.755992,430.244008,0.013497
15,15,160000,33938.000000,33087.119312,850.880688,0.025072
15,16,170000,36103.000000,35282.179113,820.820887,0.022736
15,17,180000,38196.000000,37443.327128,752.672872,0.019706
15,18,190000,40300.000000,39995.977215,304.022785,0.007544
15,19,200000,42402.000000,42393.956128,8.043872,0.000190
16,0,10000,2151.000000,2167.357854,16.357854,0.007605
16,1,20000,4365.000000,4397.214315,32.214315,0.007380
16,2,30000,6514.000000,6583.267563,69.267563,0.010634
16,3,40000,8632.000000,8756.222006,124.222006,0.014391
16,4,50000,10704.000000,11041.323206,337.323206,0.031514
16,5,60000,12791.000000,13011.381795,220.381795,0.017229
16,6,70000,14854.000000,15061.440008,207.440008,0.013965
16,7,80000,16997.000000,17227.165938,230.165938,0.013542
16,8,90000,19196.000000,19425.442803,229.442803,0.011953
16,9,100000,21351.000000,21403.194227,52.194227,0.002445
16,10,110000,23539.000000,23885.009857,346.009857,0.014699
16,11,120000,25646.000000,26106.094455,460.094455,0.017940
16,12,130000,27732.000000,28126.104734,394.104734,0.014211
16,13,140000,29866.000000,30309.970260,443.970260,0.014865
16,14,150000,31979.000000,32220.506045,241.506045,0.007552
16,15,160000,34178.000000,34614.409566,436.409566,0.012769
16,16,170000,36373.000000,36476.197230,103.197230,0.002837
16,17,180000,38409.000000,38499.661092,90.661092,0.002360
16,18,190000,40524.000000,40614.474845,90.474845,0.002233
16,19,200000,42632.000000,42867.759339,235.759339,0.005530
17,0,10000,2169.000000,2120.102283,48.897717,0.022544
17,1,20000,4293.000000,4191.800801,101.199199,0.023573
17,2,30000,6398.000000,6369.430158,28.569842,0.004465
17,3,40000,8565.000000,8705.653462,140.653462,0.016422
17,4,50000,10733.000000,10820.829957,87.829957,0.008183
17,5,60000,12805.000000,12906.598617,101.598617,0.007934
17,6,70000,14914.000000,15039.101177,125.101177,0.008388
17,7,80000,17036.000000,17089.238109,53.238109,0.003125
17,8,90000,19047.000000,19140.389063,93.389063,0.004903
17,9,100000,21173.000000,21095.452608,77.547392,0.003663
17,10,110000,23291.000000,23055.435756,235.564244,0.010114
17,11,120000,25358.000000,24888.759717,469.240283,0.018505
17,12,130000,27502.000000,26952.022139,549.977861,0.019998
17,13,140000,29575.000000,28803.412046,771.587954,0.026089
17,14,150000,31634.000000,30766.344227,867.655773,0.027428
17,15,160000,33728.000000,32779.039884,948.960116,0.028136
17,16,170000,35855.000000,34803.329806,1051.670194,0.029331
17,17,180000,37968.000000,36889.700396,1078.299604,0.028400
17,18,190000,40159.000000,38810.005595,1348.994405,0.033591
17,19,200000,42252.000000,40879.727366,1372.272634,0.032478
18,0,10000,2180.000000,2216.882743,36.882743,0.016919
18,1,20000,4300.000000,4264.795193,35.204807,0.008187
18,2,30000,6482.000000,6474.953559,7.046441,0.001087
18,3,40000,8582.000000,8590.032882,8.032882,0.000936
18,4,50000,10694.000000,10876.591283,182.591283,0.017074
18,5,60000,12833.000000,12804.944939,28.055061,0.002186
18,6,70000,14858.000000,14769.340259,88.659741,0.005967
18,7,80000,16988.000000,16655.786590,332.213410,0.019556
18,8,90000,19098.000000,18743.728759,354.271241,0.018550
18,9,100000,21281.000000,20922.164946,358.835054,0.016862
18,10,110000,23417.000000,23037.696761,379.303239,0.016198
18,11,120000,25446.000000,24989.492701,456.507299,0.017940
18,12,130000,27534.000000,27220.959439,313.040561,0.011369
18,13,140000,29641.000000,29462.670261,178.329739,0.006016
18,14,150000,31647.000000,31507.876114,139.123886,0.004396
18,15,160000,33784.000000,33743.804310,40.195690,0.001190
18,16,170000,35904.000000,35886.220124,17.779876,0.000495
18,17,180000,38016.000000,38035.922905,19.922905,0.000524
18,18,190000,40149.000000,40444.502660,295.502660,0.007360
18,19,200000,42289.000000,42543.003560,254.003560,0.006006
19,0,10000,2221.000000,2167.357854,53.642146,0.024152
19,1,20000,4362.000000,4270.464398,91.535602,0.020985
19,2,30000,6519.000000,6553.442188,34.442188,0.005283
19,3,40000,8561.000000,8781.742337,220.742337,0.025785
19,4,50000,10665.000000,11111.720685,446.720685,0.041887
19,5,60000,12805.000000,13121.334619,316.334619,0.024704
19,6,70000,14940.000000,15178.745474,238.745474,0.015980
19,7,80000,17027.000000,17363.840671,336.840671,0.019783
19,8,90000,19162.000000,19423.857144,261.857144,0.013665
19,9,100000,21301.000000,21560.057531,259.057531,0.012162
19,10,110000,23388.000000,23821.585140,433.585140,0.018539
19,11,120000,25551.000000,25838.965838,287.965838,0.011270
19,12,130000,27638.000000,28234.615019,596.615019,0.021587
19,13,140000,29722.000000,30183.876992,461.876992,0.015540
19,14,150000,31882.000000,32451.863981,569.863981,0.017874
19,15,160000,33965.000000,34874.962193,909.962193,0.026791
19,16,170000,36095.000000,36741.245354,646.245354,0.017904
19,17,180000,38162.000000,38767.128246,605.128246,0.015857
19,18,190000,40305.000000,41122.957203,817.957203,0.020294
19,19,200000,42468.000000,43260.704810,792.704810,0.018666
20,0,10000,2178.000000,2198.026883,20.026883,0.009195
20,1,20000,4281.000000,4293.220012,12.220012,0.002854
20,2,30000,6427.000000,6603.272486,176.272486,0.027427
20,3,40000,8561.000000,8705.653462,144.653462,0.016897
20,4,50000,10668.000000,11067.378139,399.378139,0.037437
20,5,60000,12823.000000,13182.901145,359.901145,0.028067
20,6,70000,14885.000000,15106.395064,221.395064,0.014874
20,7,80000,16967.000000,17124.727891,157.727891,0.009296
20,8,90000,19089.000000,19410.240271,321.240271,0.016829
20,9,100000,21219.000000,21516.760596,297.760596,0.014033
20,10,110000,23394.000000,23829.695517,435.695517,0.018624
20,11,120000,25476.000000,25825.957336,349.957336,0.013737
20,12,130000,27619.000000,27958.106381,339.106381,0.012278
20,13,140000,29742.000000,29957.210344,215.210344,0.007236
20,14,150000,31922.000000,32285.457875,363.457875,0.011386
20,15,160000,34039.000000,34435.946070,396.946070,0.011662
20,16,170000,36080.000000,36694.695551,614.695551,0.017037
20,17,180000,38130.000000,38728.802016,598.802016,0.015704
20,18,190000,40180.000000,40607.074941,427.074941,0.010629
20,19,200000,42286.000000,42533.666953,247.666953,0.005857
21,0,10000,2155.000000,2170.754206,15.754206,0.007311
21,1,20000,4342.000000,4426.576448,84.576448,0.019479
21,2,30000,6480.000000,6588.259641,108.259641,0.016707
21,3,40000,8641.000000,8714.038317,73.038317,0.008453
21,4,50000,10785.000000,10957.549616,172.549616,0.015999
21,5,60000,12913.000000,12985.060313,72.060313,0.005580
21,6,70000,15082.000000,15311.061642,229.061642,0.015188
21,7,80000,17178.000000,17556.438303,378.438303,0.022030
21,8,90000,19267.000000,19793.902496,526.902496,0.027347
21,9,100000,21397.000000,21629.813067,232.813067,0.010881
21,10,110000,23507.000000,23718.277942,211.277942,0.008988
21,11,120000,25608.000000,26070.047416,462.047416,0.018043
21,12,130000,27716.000000,28527.280889,811.280889,0.029271
21,13,140000,29857.000000,30678.294882,821.294882,0.027508
21,14,150000,31964.000000,32819.925224,855.925224,0.026778
21,15,160000,34072.000000,34883.886235,811.886235,0.023829
21,16,170000,36194.000000,36949.348440,755.348440,0.020869
21,17,180000,38360.000000,38919.249840,559.249840,0.014579
21,18,190000,40492.000000,41089.327812,597.327812,0.014752
21,19,200000,42575.000000,43008.459990,433.459990,0.010181
22,0,10000,2181.000000,2130.182681,50.817319,0.023300
22,1,20000,4355.000000,4290.368638,64.631362,0.014841
22,2,30000,6464.000000,6369.430158,94.569842,0.014630
22,3,40000,8574.000000,8391.351841,182.648159,0.021303
22,4,50000,10698.000000,10833.953874,135.953874,0.012708
22,5,60000,12828.000000,12811.912154,16.087846,0.001254
22,6,70000,14934.000000,14853.684313,80.315687,0.005378
22,7,80000,17065.000000,16972.462847,92.537153,0.005423
22,8,90000,19228.000000,19309.077417,81.077417,0.004217
22,9,100000,21288.000000,21668.734423,380.734423,0.017885
22,10,110000,23352.000000,23871.054798,519.054798,0.022227
22,11,120000,25478.000000,25786.265566,308.265566,0.012099
22,12,130000,27585.000000,27954.621316,369.621316,0.013399
22,13,140000,29673.000000,29607.028230,65.971770,0.002223
22,14,150000,31777.000000,31868.242433,91.242433,0.002871
22,15,160000,33879.000000,33928.395276,49.395276,0.001458
22,16,170000,35976.000000,35868.434221,107.565779,0.002990
22,17,180000,38120.000000,37724.058434,395.941566,0.010387
22,18,190000,40229.000000,39712.368211,516.631789,0.012842
22,19,200000,42260.000000,41535.902189,724.097811,0.017134
23,0,10000,2234.000000,2180.960191,53.039809,0.023742
23,1,20000,4357.000000,4327.592242,29.407758,0.006750
23,2,30000,6441.000000,6397.940714,43.059286,0.006685
23,3,40000,8588.000000,8647.435223,59.435223,0.006921
23,4,50000,10687.000000,10711.683517,24.683517,0.002310
23,5,60000,12863.000000,12790.369622,72.630378,0.005646
23,6,70000,14940.000000,14898.934944,41.065056,0.002749
23,7,80000,17097.000000,17109.721480,12.721480,0.000744
23,8,90000,19180.000000,19203.827059,23.827059,0.001242
23,9,100000,21260.000000,21302.675159,42.675159,0.002007
23,10,110000,23345.000000,23417.829096,72.829096,0.003120
23,11,120000,25408.000000,24913.397242,494.602758,0.019466
23,12,130000,27559.000000,27155.781277,403.218723,0.014631
23,13,140000,29639.000000,29277.135647,361.864353,0.012209
